RK,Player,Pos,Squad,Age,Born,90s,Tkl,TklW,Def_3rd,Mid_3rd,Att_3rd,Tkl1,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
166,Norbert Gyömbér,DF,Slovakia,31,1992,0.4,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0
167,Ianis Hagi,MF,Romania,25,1998,2.1,5,3,2,1,2,2,4,50.0,2,1,0,1,0,5,4,0
168,Dávid Hancko,DF,Slovakia,26,1997,4.1,10,5,6,4,0,4,11,36.4,7,7,2,5,3,13,10,0
169,Grant Hanley,DF,Scotland,32,1991,2.5,2,0,1,1,0,0,0,,0,2,1,1,1,3,11,0
170,Lukáš Haraslín,FW,Slovakia,27,1996,2.9,4,4,2,1,1,4,6,66.7,2,1,0,1,3,7,5,0
171,Kai Havertz,"FW,MF",Germany,24,1999,4.3,2,1,1,1,0,2,2,100.0,0,4,0,4,0,2,8,0
172,Jack Hendry,DF,Scotland,28,1995,2.9,2,1,1,1,0,2,2,100.0,0,2,2,0,1,3,10,0
173,Benjamin Henrichs,DF,Germany,26,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
174,Theo Hernández,DF,France,26,1997,6.3,10,6,7,2,1,6,9,66.7,3,6,5,1,3,13,12,2
175,Morten Hjulmand,MF,Denmark,24,1999,2.7,3,1,1,2,0,2,5,40.0,3,3,1,2,1,4,3,1
176,Adam Hložek,MF,Czechia,21,2002,1.2,1,0,0,0,1,0,1,0.0,1,0,0,0,1,2,1,0
177,Tomáš Holeš,DF,Czechia,30,1993,3.0,10,5,5,3,2,7,10,70.0,3,4,2,2,2,12,12,0
178,Arbër Hoxha,"FW,MF",Albania,25,1998,0.6,2,2,1,1,0,2,2,100.0,0,0,0,0,0,2,0,0
179,Robin Hranáč,DF,Czechia,24,2000,3.0,2,1,1,1,0,2,2,100.0,0,3,1,2,0,2,12,1
180,Elseid Hysaj,DF,Albania,29,1994,2.0,1,1,0,1,0,1,5,20.0,4,3,2,1,0,1,2,0
181,Pierre Højbjerg,MF,Denmark,28,1995,3.9,10,7,5,5,0,7,13,53.8,6,5,0,5,3,13,5,0
182,Rasmus Højlund,FW,Denmark,20,2003,3.2,3,1,0,1,2,1,4,25.0,3,0,0,0,1,4,1,0
183,Ivan Ilić,MF,Serbia,22,2001,2.2,6,4,4,1,1,3,3,100.0,0,4,3,1,0,6,3,1
184,Josip Iličić,"FW,MF",Slovenia,36,1988,0.3,2,1,1,0,1,1,1,100.0,0,0,0,0,0,2,0,0
185,Gonçalo Inácio,DF,Portugal,22,2001,1.3,2,2,1,1,0,2,5,40.0,3,6,0,6,1,3,5,0
186,Luka Ivanušec,MF,Croatia,25,1998,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
187,Erik Janža,DF,Slovenia,30,1993,3.0,4,4,3,1,0,1,5,20.0,4,1,1,0,2,6,8,0
188,Jorginho,MF,Italy,32,1991,2.4,6,2,6,0,0,3,8,37.5,5,3,0,3,4,10,1,0
189,Joselu,FW,Spain,33,1990,1.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,3,0
190,Diogo Jota,"FW,MF",Portugal,27,1996,1.1,3,2,0,2,1,0,0,,0,1,0,1,0,3,0,0
191,Luka Jović,"MF,FW",Serbia,26,1997,1.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
192,Josip Juranović,DF,Croatia,28,1995,1.0,3,3,1,2,0,2,3,66.7,1,1,1,0,1,4,1,0
193,David Jurásek,DF,Czechia,23,2000,1.8,3,2,2,1,0,2,5,40.0,3,1,1,0,1,4,2,0
194,Matěj Jurásek,"DF,MF",Czechia,20,2003,0.5,2,1,0,1,1,2,4,50.0,2,0,0,0,0,2,1,0
195,Ferdi Kadioglu,"DF,MF",Türkiye,24,1999,5.0,18,12,9,7,2,10,13,76.9,3,5,1,4,7,25,10,0
196,İrfan Kahveci,FW,Türkiye,28,1995,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
197,Otar Kakabadze,"DF,MF",Georgia,28,1995,4.0,12,8,10,1,1,10,18,55.6,8,3,1,2,4,16,8,0
198,Harry Kane,FW,England,30,1993,6.7,4,3,2,2,0,1,3,33.3,2,2,2,0,1,5,0,0
199,N'Golo Kanté,MF,France,32,1991,5.7,12,9,6,3,3,4,5,80.0,1,6,1,5,6,18,7,0
200,Žan Karničnik,DF,Slovenia,29,1994,4.3,8,4,7,1,0,7,12,58.3,5,5,3,2,8,16,11,0
201,Guram Kashia,DF,Georgia,36,1987,4.0,7,4,5,2,0,4,4,100.0,0,13,12,1,1,8,31,1
202,Milos Kerkez,DF,Hungary,20,2003,2.6,4,2,3,1,0,3,5,60.0,2,0,0,0,0,4,7,1
203,Semih Kılıçsoy,FW,Türkiye,18,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
204,Joshua Kimmich,DF,Germany,28,1995,5.3,7,4,5,0,2,4,12,33.3,8,6,2,4,6,13,6,0
205,Otar Kiteishvili,MF,Georgia,27,1996,1.4,4,4,4,0,0,2,6,33.3,4,3,1,2,0,4,3,0
206,Jakub Kiwior,DF,Poland,23,2000,3.0,7,4,6,1,0,3,5,60.0,2,4,2,2,5,12,9,0
207,László Kleinheisler,MF,Hungary,29,1994,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
208,Giorgi Kochorashvili,MF,Georgia,24,1999,4.0,9,5,5,4,0,5,6,83.3,1,6,4,2,5,14,6,1
209,Orkun Kökçü,MF,Türkiye,23,2000,2.5,3,2,2,0,1,1,4,25.0,3,3,1,2,1,4,2,0
210,Randal Kolo Muani,FW,France,25,1998,2.2,1,0,1,0,0,1,1,100.0,0,2,1,1,1,2,4,0
211,Yukhym Konoplia,DF,Ukraine,24,1999,0.8,1,0,0,0,1,0,0,,0,1,0,1,0,1,0,0
212,Ezri Konsa,DF,England,26,1997,1.0,2,0,2,0,0,1,1,100.0,0,3,2,1,0,2,8,0
213,Filip Kostić,DF,Serbia,31,1992,0.5,1,0,1,0,0,1,2,50.0,1,1,0,1,0,1,1,0
214,Jules Koundé,DF,France,25,1998,6.3,18,12,7,5,6,10,17,58.8,7,5,0,5,2,20,22,0
215,Mateo Kovačić,MF,Croatia,29,1994,2.5,8,6,2,5,1,2,5,40.0,3,2,1,1,3,11,0,0
216,Matej Kovar,GK,Czechia,23,2000,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
217,Andrej Kramarić,FW,Croatia,32,1991,2.7,0,0,0,0,0,0,0,,0,3,1,2,1,1,1,0
218,Ladislav Krejčí,DF,Czechia,24,1999,3.0,3,2,3,0,0,0,3,0.0,3,1,1,0,5,8,9,0
