Rk,Player,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls1,Ast1,G+A1,G-PK1,G+A-PK,xG1,xAG1,xG+xAG,npxG1,npxG+xAG1
236,Dominik Livaković,GK,Croatia,29,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
237,Stanislav Lobotka,MF,Slovakia,29,1994,4,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,8,17,1,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.03,0.01,0.03
238,Saba Lobzhanidze,FW,Georgia,29,1994,1,0,9,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,0,2,0.00,0.00,0.00,0.00,0.00,1.82,0.00,1.82,1.82,1.82
239,Luka Lochoshvili,"DF,MF",Georgia,25,1998,4,2,170,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,1,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
240,Fermin López,MF,Spain,20,2003,1,0,29,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,1,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.17,0.17,0.17
241,Romelu Lukaku,FW,Belgium,30,1993,4,4,359,4.0,0,1,1,0,0,0,0,0,1.7,1.7,0.2,1.9,6,3,19,0.00,0.25,0.25,0.00,0.25,0.42,0.06,0.48,0.42,0.48
242,Dodi Lukebakio,"FW,DF",Belgium,26,1997,3,1,65,0.7,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,3,1,13,0.00,0.00,0.00,0.00,0.00,0.33,0.19,0.52,0.33,0.52
243,Saša Lukić,MF,Serbia,27,1996,3,3,209,2.3,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,5,5,7,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04
244,Andriy Lunin,GK,Ukraine,24,1999,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
245,Mike Maignan,GK,France,28,1995,6,6,570,6.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
