Rk,Player,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
167,Ianis Hagi,MF,Romania,25,1998,2.1,67,63,4,1,1,1,8,1,2,0,1,0,41,0,4
168,Dávid Hancko,DF,Slovakia,26,1997,4.1,188,147,40,3,0,2,11,37,0,0,0,0,134,1,7
169,Grant Hanley,DF,Scotland,32,1991,2.5,136,136,0,0,0,1,0,0,0,0,0,0,112,0,0
170,Lukáš Haraslín,FW,Slovakia,27,1996,2.9,71,57,13,3,0,0,14,2,7,1,5,0,50,1,1
171,Kai Havertz,"FW,MF",Germany,24,1999,4.3,116,110,6,0,1,0,1,0,0,0,0,0,95,0,4
172,Jack Hendry,DF,Scotland,28,1995,2.9,131,112,18,8,0,1,1,10,0,0,0,0,105,1,1
173,Benjamin Henrichs,DF,Germany,26,1997,0.1,5,4,1,0,0,0,0,1,0,0,0,0,4,0,0
174,Theo Hernández,DF,France,26,1997,6.3,394,361,33,6,0,0,11,27,0,0,0,0,354,0,7
175,Morten Hjulmand,MF,Denmark,24,1999,2.7,217,212,4,4,0,2,2,0,0,0,0,0,192,1,2
176,Adam Hložek,MF,Czechia,21,2002,1.2,16,15,1,0,0,0,0,0,0,0,0,0,15,0,0
177,Tomáš Holeš,DF,Czechia,30,1993,3.0,121,116,5,4,0,0,5,1,0,0,0,0,92,0,2
178,Arbër Hoxha,"FW,MF",Albania,25,1998,0.6,21,19,1,0,0,0,1,1,0,0,0,0,15,1,1
179,Robin Hranáč,DF,Czechia,24,2000,3.0,86,81,5,4,0,0,0,1,0,0,0,0,74,0,0
180,Elseid Hysaj,DF,Albania,29,1994,2.0,59,52,7,0,0,1,3,7,0,0,0,0,48,0,1
181,Pierre Højbjerg,MF,Denmark,28,1995,3.9,302,294,7,6,0,4,6,1,0,0,0,0,268,1,3
182,Rasmus Højlund,FW,Denmark,20,2003,3.2,55,46,8,0,0,0,1,0,0,0,0,0,43,1,1
183,Ivan Ilić,MF,Serbia,22,2001,2.2,149,141,8,6,0,1,4,1,1,1,0,0,139,0,0
184,Josip Iličić,"FW,MF",Slovenia,36,1988,0.3,11,11,0,0,1,0,0,0,0,0,0,0,7,0,1
