right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,left href 3,right 25,right 26
52,Róbert Boženík,https://fbref.com/en/players/ba6cf633/Robert-Bozenik,FW,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,24-236,1999,2.3,62,0,3,5,35,23,6,1,0,0.0,62,100.0,37,1,130,48,1,,2,8,41,6,https://fbref.com/en/players/ba6cf633/matchlogs/2024/possession/Robert-Bozenik-Match-Logs,10,
53,Volodymyr Brazhko,https://fbref.com/en/players/696197fb/Volodymyr-Brazhko,MF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,22-170,2002,2.0,103,0,9,45,49,11,103,1,0,0.0,1,100.0,61,182,75,2,1,0,1,,71,,https://fbref.com/en/players/696197fb/matchlogs/2024/possession/Volodymyr-Brazhko-Match-Logs,0,0
54,David Brekalo,https://fbref.com/en/players/fd594b15/David-Brekalo,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,25-221,1998,1,3,0.0,3,3,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0,https://fbref.com/en/players/fd594b15/matchlogs/2024/possession/David-Brekalo-Match-Logs,0,0
55,Brian Brobbey,https://fbref.com/en/players/4c184730/Brian-Brobbey,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,22-161,2002,0,0,0.0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,,0,,0,https://fbref.com/en/players/4c184730/matchlogs/2024/possession/Brian-Brobbey-Match-Logs,0,0
56,Armando Broja,https://fbref.com/en/players/97220da2/Armando-Broja,FW,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,22-305,2001,1.2,29,0,1,3,13,14,2,7,4,3,29,,19,3,42.9,4,57.1,,142,59,25,2,https://fbref.com/en/players/97220da2/matchlogs/2024/possession/Armando-Broja-Match-Logs,3,1
57,Marcelo Brozović,https://fbref.com/en/players/33b8d077/Marcelo-Brozovic,MF,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,31-238,1992,2.5,207,0,8,46,131,30,1,1,0,0.0,207,100.0,126,1,594,258,2,0,4,1,169,6,https://fbref.com/en/players/33b8d077/matchlogs/2024/possession/Marcelo-Brozovic-Match-Logs,,
58,Jacob Bruun Larsen,https://fbref.com/en/players/4e204552/Jacob-Bruun-Larsen,FW,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,25-296,1998,0.1,6,0,2,4,6,35,22,7,0,0,1,,7,1,4,0,,0,,0,,0,https://fbref.com/en/players/4e204552/matchlogs/2024/possession/Jacob-Bruun-Larsen-Match-Logs,0,0
59,Ante Budimir,https://fbref.com/en/players/8f3565b3/Ante-Budimir,FW,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,32-355,1991,1.4,36,0,3,3,12,21,12,2,0,,36,50.0,12,1,1,35,8,,1,4,22,1,https://fbref.com/en/players/8f3565b3/matchlogs/2024/possession/Ante-Budimir-Match-Logs,5,
60,Adam Buksa,https://fbref.com/en/players/3b676989/Adam-Buksa,FW,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,27-365,1996,1.7,30,0,3,6,11,13,4,2,0,0.0,30,100.0,13,2,62,22,1,,1,3,19,1,https://fbref.com/en/players/3b676989/matchlogs/2024/possession/Adam-Buksa-Match-Logs,6,
61,Andrei Burcă,https://fbref.com/en/players/c83623e2/Andrei-Burca,DF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,31-087,1993,4.0,180,0,31,98,73,9,2,103,0,0,180,,114,451,214,2,1,0,2,3,,1,https://fbref.com/en/players/c83623e2/matchlogs/2024/possession/Andrei-Burca-Match-Logs,,
62,Riccardo Calafiori,https://fbref.com/en/players/aded8e6f/Riccardo-Calafiori,DF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,22-053,2002,3.0,257,0,21,83,143,31,3,2,0,0.0,257,100.0,213,2,1077,589,7,0,8,3,204,1,https://fbref.com/en/players/aded8e6f/matchlogs/2024/possession/Riccardo-Calafiori-Match-Logs,,
63,Hakan Çalhanoğlu,https://fbref.com/en/players/cd0fa27b/Hakan-Calhanoglu,MF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,30-154,1994,3.9,288,,11,49,160,82,5,2,,12,288,50.0,158,1,1,858,344,,5,3,217,1,https://fbref.com/en/players/cd0fa27b/matchlogs/2024/possession/Hakan-Calhanoglu-Match-Logs,3,3
64,Eduardo Camavinga,https://fbref.com/en/players/7b9c2d84/Eduardo-Camavinga,MF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,21-244,2002,1.9,114,0,7,17,64,33,4,74,0,0,114,,78,335,140,2,3,0,2,5,,,https://fbref.com/en/players/7b9c2d84/matchlogs/2024/possession/Eduardo-Camavinga-Match-Logs,,0
65,Andrea Cambiaso,https://fbref.com/en/players/247ed022/Andrea-Cambiaso,"FW,DF",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,24-142,2000,0.8,54,0,2,15,20,19,3,1,0,0.0,54,100.0,40,1,191,80,1,0,1,7,40,,https://fbref.com/en/players/247ed022/matchlogs/2024/possession/Andrea-Cambiaso-Match-Logs,,0
66,Emre Can,https://fbref.com/en/players/a65ce836/Emre-Can,MF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,30-181,1994,1.1,88,0,5,18,43,27,1,49,0,0,88,,68,206,93,1,2,0,3,1,,1,https://fbref.com/en/players/a65ce836/matchlogs/2024/possession/Emre-Can-Match-Logs,,
67,João Cancelo,https://fbref.com/en/players/bd6351cd/Joao-Cancelo,"DF,MF",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,30-045,1994,3.8,296,26,10,66,141,94,9,16,5,5,296,,185,10,62.5,5,31.3,,1036,589,199,14,https://fbref.com/en/players/bd6351cd/matchlogs/2024/possession/Joao-Cancelo-Match-Logs,9,6
68,Yannick Carrasco,https://fbref.com/en/players/de39485a/Yannick-Carrasco,"DF,FW",be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,30-311,1993,2.4,119,12,2,19,63,40,9,5,3,1,119,,83,2,40.0,2,40.0,,359,187,88,5,https://fbref.com/en/players/de39485a/matchlogs/2024/possession/Yannick-Carrasco-Match-Logs,3,5
69,Dani Carvajal,https://fbref.com/en/players/4958bfb2/Dani-Carvajal,DF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,32-182,1992,4.2,286,0,16,55,146,88,7,3,0.0,,286,,168,2,66.7,712,328,0,9,10,200,3,https://fbref.com/en/players/4958bfb2/matchlogs/2024/possession/Dani-Carvajal-Match-Logs,1,12
70,Timothy Castagne,https://fbref.com/en/players/197640fd/Timothy-Castagne,DF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,28-219,1995,4.0,254,0,17,85,99,72,4,1,0,0.0,254,100.0,143,1,512,282,4,0,6,4,160,16,https://fbref.com/en/players/197640fd/matchlogs/2024/possession/Timothy-Castagne-Match-Logs,,
