right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 6,right 7,right 8,right 9,right 10,right 11,right 14,right 15,right 16,right 17,right 18,left href 3,right 19
51,Jarrod Bowen,https://fbref.com/en/players/79c84d1c/Jarrod-Bowen,FW,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,27-204,1996,0.4,0,0,1,1,3,1,1,1,0,1,2,,0,https://fbref.com/en/players/79c84d1c/matchlogs/2024/misc/Jarrod-Bowen-Match-Logs,66.7
52,Róbert Boženík,https://fbref.com/en/players/ba6cf633/Robert-Bozenik,FW,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,24-236,1999,2.3,0,0,5,1,2,3,6,10,0,23.1,3,0,0,https://fbref.com/en/players/ba6cf633/matchlogs/2024/misc/Robert-Bozenik-Match-Logs,
53,Volodymyr Brazhko,https://fbref.com/en/players/696197fb/Volodymyr-Brazhko,MF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,22-170,2002,2.0,0,0,2,3,5,5,9,3,0,,0,0,0,https://fbref.com/en/players/696197fb/matchlogs/2024/misc/Volodymyr-Brazhko-Match-Logs,0.0
54,David Brekalo,https://fbref.com/en/players/fd594b15/David-Brekalo,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,25-221,1998,1,0,0.0,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/players/fd594b15/matchlogs/2024/misc/David-Brekalo-Match-Logs,0.0
55,Brian Brobbey,https://fbref.com/en/players/4c184730/Brian-Brobbey,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,22-161,2002,0,0,0.0,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/players/4c184730/matchlogs/2024/misc/Brian-Brobbey-Match-Logs,
56,Armando Broja,https://fbref.com/en/players/97220da2/Armando-Broja,FW,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,22-305,2001,1.2,2,0,2,5,1,1,1,,0,0,1,0,0,https://fbref.com/en/players/97220da2/matchlogs/2024/misc/Armando-Broja-Match-Logs,66.7
57,Marcelo Brozović,https://fbref.com/en/players/33b8d077/Marcelo-Brozovic,MF,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,31-238,1992,2.5,1,0,2,4,4,2,1,,0,0,1,0,0,https://fbref.com/en/players/33b8d077/matchlogs/2024/misc/Marcelo-Brozovic-Match-Logs,50.0
58,Jacob Bruun Larsen,https://fbref.com/en/players/4e204552/Jacob-Bruun-Larsen,FW,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,25-296,1998,0.1,0,0,1,1,,0,0,0,0,0,0,0,0,https://fbref.com/en/players/4e204552/matchlogs/2024/misc/Jacob-Bruun-Larsen-Match-Logs,
59,Ante Budimir,https://fbref.com/en/players/8f3565b3/Ante-Budimir,FW,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,32-355,1991,1.4,0,0,5,1,1,2,1,11,0,38.9,7,0,0,https://fbref.com/en/players/8f3565b3/matchlogs/2024/misc/Ante-Budimir-Match-Logs,
60,Adam Buksa,https://fbref.com/en/players/3b676989/Adam-Buksa,FW,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,27-365,1996,1.7,0,0,2,4,7,30.0,0,0,0,0,3,0,0,https://fbref.com/en/players/3b676989/matchlogs/2024/misc/Adam-Buksa-Match-Logs,
61,Andrei Burcă,https://fbref.com/en/players/c83623e2/Andrei-Burca,DF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,31-087,1993,4.0,6,0,1,1,1,1,2,8,0,8,1,42.9,0,https://fbref.com/en/players/c83623e2/matchlogs/2024/misc/Andrei-Burca-Match-Logs,
62,Riccardo Calafiori,https://fbref.com/en/players/aded8e6f/Riccardo-Calafiori,DF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,22-053,2002,3.0,7,0,4,2,1,6,1,1,0,13,2,2,77.8,https://fbref.com/en/players/aded8e6f/matchlogs/2024/misc/Riccardo-Calafiori-Match-Logs,
63,Hakan Çalhanoğlu,https://fbref.com/en/players/cd0fa27b/Hakan-Calhanoglu,MF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,30-154,1994,3.9,3,0,7,3,1,16,1,4,0,22,2,3,50.0,https://fbref.com/en/players/cd0fa27b/matchlogs/2024/misc/Hakan-Calhanoglu-Match-Logs,
