right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,right 25,right 26,right 27,right 28,right 29,right 30,left href 3,right 31,right 32,right 33,right 34,right 35,right 36,right 37,right 38,right 39
37,Jan Bednarek,https://fbref.com/en/players/4115ce4e/Jan-Bednarek,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,28-090,1996,3,3,270,3.0,0,0,0,0,0,0,0,0.2,0.2,0.2,2,0.05,0.05,0.05,0,0.0,0,0.00,0.00,0.00,0.05,0.00,0.00,0.00,https://fbref.com/en/players/4115ce4e/matchlogs/2024/summary/Jan-Bednarek-Match-Logs,,,,,,,,,
38,Maximilian Beier,https://fbref.com/en/players/5db45ee5/Maximilian-Beier,FW,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,21-268,2002,1,26,0.3,3,0,0,0,0,0,0,0,,,,,0.00,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.00,,,0,https://fbref.com/en/players/5db45ee5/matchlogs/2024/summary/Maximilian-Beier-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.00,,,
39,Jude Bellingham,https://fbref.com/en/players/57d88cf9/Jude-Bellingham,MF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,21-012,2003,6,6,580,6.4,0.10,0,0,0,0.00,0.15,0.10,2,2,2,2,0.6,0.6,0.3,0.31,0.15,0.31,0.05,0.31,25,0.9,33,33,0.31,https://fbref.com/en/players/57d88cf9/matchlogs/2024/summary/Jude-Bellingham-Match-Logs,,,,,,,,,
40,László Bénes,https://fbref.com/en/players/fe888e39/Laszlo-Benes,MF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,26-306,1997,2,71,0.8,0.1,0,0,0,0,0,0,0,0.1,0.7,0.8,8,,,,0,0,0,,1.78,,,,,,https://fbref.com/en/players/fe888e39/matchlogs/2024/summary/Laszlo-Benes-Match-Logs,0.00,0.00,0.00,0.00,0.00,1.55,1.78,0.23,0.23
41,Bartosz Bereszyński,https://fbref.com/en/players/61b3978f/Bartosz-Bereszynski,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,31-365,1992,1,5,0.1,,0,0,0,0,0,0,0,,,,,0.00,0.00,0.00,0.0,0,0.0,0.0,0.0,0,0.00,,0,0,https://fbref.com/en/players/61b3978f/matchlogs/2024/summary/Bartosz-Bereszynski-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.00,,,
42,Steven Bergwijn,https://fbref.com/en/players/a29b1131/Steven-Bergwijn,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,26-277,1997,2,2,90,1.0,0,0,0,0,0,0,0,7,7,4,,,,,0.0,0.0,0.0,0.0,,,0.00,,,,https://fbref.com/en/players/a29b1131/matchlogs/2024/summary/Steven-Bergwijn-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.02
43,Medon Berisha,https://fbref.com/en/players/9d376bef/Medon-Berisha,MF,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,20-264,2003,1,21,0.2,1,0,0,0,0,0,0,0,,1,1,,,,,0.0,0.0,0.0,0.0,,0,0.00,,,,https://fbref.com/en/players/9d376bef/matchlogs/2024/summary/Medon-Berisha-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.14,0.14
44,Victor Bernth Kristiansen,https://fbref.com/en/players/505486d6/Victor-Bernth-Kristiansen,"DF,MF",dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,21-208,2002,4,2,156,1.7,0,0,0,0,0,0.0,0.00,5,1,1,0.3,0.02,0.3,1,0.0,0.19,0.19,0.02,0.17,0.00,18,0.58,0.58,0.58,https://fbref.com/en/players/505486d6/matchlogs/2024/summary/Victor-Bernth-Kristiansen-Match-Logs,,,,,,,,,
45,Matúš Bero,https://fbref.com/en/players/b5e0af76/Matus-Bero,"MF,DF",sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,28-309,1995,2,41,0.5,3,0,0,0,0,0,0,0,1,6,,,,,,0.0,0,0.0,0.0,0.0,,0.00,,,,https://fbref.com/en/players/b5e0af76/matchlogs/2024/summary/Matus-Bero-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.26,0.26,0.26,0.26
46,Jaka Bijol,https://fbref.com/en/players/6fdac234/Jaka-Bijol,DF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,25-157,1999,4,4,390,4.3,0,0,0,0,0,0,0.0,0.00,2,3,0.01,0.00,0.01,0.00,0.0,0.0,0.0,0,0.00,0,0.00,0.00,0.00,0.00,https://fbref.com/en/players/6fdac234/matchlogs/2024/summary/Jaka-Bijol-Match-Logs,,,,,,,,,
47,Veljko Birmančević,https://fbref.com/en/players/636247ca/Veljko-Birmancevic,DF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,26-128,1998,2,26,0.3,3,0,0,0,0,0,0,0,3,7,,,,,,0.0,0,0.0,0.0,0.0,,0.00,,,,https://fbref.com/en/players/636247ca/matchlogs/2024/summary/Veljko-Birmancevic-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.06,0.06
48,Daley Blind,https://fbref.com/en/players/691bef82/Daley-Blind,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,34-124,1990,1,1,,,0,0.0,0,0,0,0,0,,,,,0.00,0.00,0.00,0.0,0,0,0.0,0.0,0,0.00,0,0,0.0,https://fbref.com/en/players/691bef82/matchlogs/2024/summary/Daley-Blind-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.00,,,
49,Bendegúz Bolla,https://fbref.com/en/players/b6ca3ab3/Bendeguz-Bolla,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,24-232,1999,3,2,204,2.3,0,0,0,0,0,0,0.00,0.1,1,0.1,0.2,2,0.3,3,0.00,0.00,0.00,0.00,0.13,0.03,13,0.10,0.13,0.03,https://fbref.com/en/players/b6ca3ab3/matchlogs/2024/summary/Bendeguz-Bolla-Match-Logs,,,,,,,,,
50,Endre Botka,https://fbref.com/en/players/2cb77ec6/Endre-Botka,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,29-321,1994,1,1,90,1.0,0,0,0,0,0,0,0,,3,,,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0,0,0.00,,,,https://fbref.com/en/players/2cb77ec6/matchlogs/2024/summary/Endre-Botka-Match-Logs,0.00,0.00,0.00,0.00,0.00,0.00,,,
