right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,right 25,left href 3,right 26,right 27,right 28,right 29
385,Luke Shaw,https://fbref.com/en/players/9c94165b/Luke-Shaw,DF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,28-365,1995,1.0,58,66,984,190,30,29,26,8,23,0.1,-0.1,5,1,5,0,1,1,5,,,0.0,,,https://fbref.com/en/players/9c94165b/matchlogs/2024/passing/Luke-Shaw-Match-Logs,87.9,96.7,88.5,62.5
386,Vincent Sierro,https://fbref.com/en/players/92ffb8f9/Vincent-Sierro,MF,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,28-277,1995,0.4,15,25,182,39,12,9,9,2,4,1,2,0.0,,,0,,,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/92ffb8f9/matchlogs/2024/passing/Vincent-Sierro-Match-Logs,60.0,75.0,44.4,0
387,António Silva,https://fbref.com/en/players/8f0435c7/Antonio-Silva,DF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,20-255,2003,0.8,59,66,970,318,28,26,38,0.1,33,0.1,-0.1,,1,14,0,10,,,,,0,0,0,https://fbref.com/en/players/8f0435c7/matchlogs/2024/passing/Antonio-Silva-Match-Logs,89.4,92.9,86.8,0
388,Bernardo Silva,https://fbref.com/en/players/3eb22ec9/Bernardo-Silva,"FW,MF",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,29-336,1994,4.7,239,267,89.5,3439,695,160,170,94.1,67,73,91.8,10,17,58.8,0,0.6,0.7,-0.6,10,9,28,1,7,https://fbref.com/en/players/3eb22ec9/matchlogs/2024/passing/Bernardo-Silva-Match-Logs,,,,
389,Unai Simón,https://fbref.com/en/players/5dcf3e90/Unai-Simon,GK,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,27-030,1997,5.3,155,204,76.0,4117,3142,28,28,100.0,78,80,97.5,48,93,51.6,0,1,0,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/5dcf3e90/matchlogs/2024/passing/Unai-Simon-Match-Logs,,,,
390,Xavi Simons,https://fbref.com/en/players/da4d670f/Xavi-Simons,"MF,FW",nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,21-081,2003,5.0,152,184,82.6,2248,510,84,97,86.6,52,59,88.1,7,12,58.3,3,1.0,0.4,+2.0,12,18,0,28,7,https://fbref.com/en/players/da4d670f/matchlogs/2024/passing/Xavi-Simons-Match-Logs,,,,
391,Michał Skóraś,https://fbref.com/en/players/5a80aea3/Michal-Skoras,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,24-147,2000,0.3,6,9,98,45,4,2,4,1,4,1,,,,,0,,0,0,0,0.0,0,0.0,0.0,https://fbref.com/en/players/5a80aea3/matchlogs/2024/passing/Michal-Skoras-Match-Logs,66.7,50.0,100.0,0
392,Łukasz Skorupski,https://fbref.com/en/players/ab4449d6/Lukasz-Skorupski,GK,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,33-067,1991,1.0,24,29,578,463,9,9,9,11,9,,,6,,,0,0,0,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/ab4449d6/matchlogs/2024/passing/Lukasz-Skorupski-Match-Logs,82.8,100.0,100.0,54.5
393,Andreas Skov Olsen,https://fbref.com/en/players/c50cee19/Andreas-Skov-Olsen,"MF,FW",dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,24-195,1999,1.4,30,38,444,80,19,16,12,4,11,0.4,0.2,2,-0.4,1,0,1,3,,,,0,0,,https://fbref.com/en/players/c50cee19/matchlogs/2024/passing/Andreas-Skov-Olsen-Match-Logs,78.9,84.2,91.7,50.0
394,Milan Škriniar,https://fbref.com/en/players/30f5ffa9/Milan-Skriniar,DF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,29-151,1995,4.3,257,282,91.1,4543,1583,111,113,98.2,123,130,94.6,16,30,53.3,0,0.1,0.1,-0.1,2,13,0,0,21,https://fbref.com/en/players/30f5ffa9/matchlogs/2024/passing/Milan-Skriniar-Match-Logs,,,,
395,Bartosz Slisz,https://fbref.com/en/players/7ee64741/Bartosz-Slisz,MF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,25-104,1999,1.2,35,43,490,113,24,19,18,1,16,0.1,-0.1,0.0,2,6,0,5,,,,,0.0,0,0,https://fbref.com/en/players/7ee64741/matchlogs/2024/passing/Bartosz-Slisz-Match-Logs,81.4,79.2,88.9,0
396,Yann Sommer,https://fbref.com/en/players/420c18a1/Yann-Sommer,GK,ch,Switzerland,https://fbref.com/en/squads/81021a70/Switzerland-Men-Stats,35-207,1988,5.3,138,167,82.6,2997,1816,35,35,100.0,76,76,100.0,27,55,49.1,0,0,0,0,0,0,0.0,0.0,0.0,https://fbref.com/en/players/420c18a1/matchlogs/2024/passing/Yann-Sommer-Match-Logs,,,,
397,Deian Sorescu,https://fbref.com/en/players/15e1f59b/Deian-Sorescu,"MF,DF",ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,26-317,1997,0.4,12,16,162,74,8,8,8,0,4,,,,,,0,0,0,0,0,0.0,0,0.0,0.0,https://fbref.com/en/players/15e1f59b/matchlogs/2024/passing/Deian-Sorescu-Match-Logs,75.0,100.0,50.0,0
398,Borna Sosa,https://fbref.com/en/players/af0d79a9/Borna-Sosa,DF,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,26-172,1998,0.1,1,2,8,6,1,1,1,0,0,,,0.0,,,0,0,0,0,0,0.0,0,0.0,0.0,https://fbref.com/en/players/af0d79a9/matchlogs/2024/passing/Borna-Sosa-Match-Logs,50.0,100.0,,0
399,Tomáš Souček,https://fbref.com/en/players/6613c819/Tomas-Soucek,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,29-135,1995,3.0,74,94,78.7,1257,299,41,50,82.0,25,33,75.8,8,11,72.7,0,1.0,0.4,-1.0,6,12,0,11,1,https://fbref.com/en/players/6613c819/matchlogs/2024/passing/Tomas-Soucek-Match-Logs,,,,
