right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,left href 3,right 20,right 21,right 22
45,Matúš Bero,https://fbref.com/en/players/b5e0af76/Matus-Bero,"MF,DF",sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,28-309,1995,0.5,0,1,,,0.00,0.00,0,0,,0,0,0.0,0.0,0.0,0.0,,,https://fbref.com/en/players/b5e0af76/matchlogs/2024/summary/Matus-Bero-Match-Logs,0.0,2.20,26.6
46,Jaka Bijol,https://fbref.com/en/players/6fdac234/Jaka-Bijol,DF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,25-157,1999,4.3,0,1,0.23,,0.00,,0,0.00,,0,0,0,0.0,0.0,0.0,0.0,,https://fbref.com/en/players/6fdac234/matchlogs/2024/summary/Jaka-Bijol-Match-Logs,0.0,7.1,0.01
47,Veljko Birmančević,https://fbref.com/en/players/636247ca/Veljko-Birmancevic,DF,rs,Serbia,https://fbref.com/en/squads/1d6f5c9b/Serbia-Men-Stats,26-128,1998,0.3,0,1,,,0.00,0.00,0,0,,0,0,0.0,0.0,0.0,0.0,,,https://fbref.com/en/players/636247ca/matchlogs/2024/summary/Veljko-Birmancevic-Match-Logs,0.0,3.46,24.6
48,Daley Blind,https://fbref.com/en/players/691bef82/Daley-Blind,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,34-124,1990,,0,,,,0.00,0.0,0.0,0,,0,0,0,0.0,0.00,0,0.0,,https://fbref.com/en/players/691bef82/matchlogs/2024/summary/Daley-Blind-Match-Logs,0.0,,
49,Bendegúz Bolla,https://fbref.com/en/players/b6ca3ab3/Bendeguz-Bolla,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,24-232,1999,2.3,0,3,1,33.3,1.32,0.44,0.00,0.00,22.3,0,0,0,0.1,0.1,0.02,-0.1,-0.1,https://fbref.com/en/players/b6ca3ab3/matchlogs/2024/summary/Bendeguz-Bolla-Match-Logs,,,
50,Endre Botka,https://fbref.com/en/players/2cb77ec6/Endre-Botka,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,29-321,1994,1.0,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/2cb77ec6/matchlogs/2024/summary/Endre-Botka-Match-Logs,0.0,,
51,Jarrod Bowen,https://fbref.com/en/players/79c84d1c/Jarrod-Bowen,FW,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,27-204,1996,0.4,0,,,,0.00,,0,0,,0,0,0,0.0,0.00,0.0,0.0,,https://fbref.com/en/players/79c84d1c/matchlogs/2024/summary/Jarrod-Bowen-Match-Logs,0.0,,
52,Róbert Boženík,https://fbref.com/en/players/ba6cf633/Robert-Bozenik,FW,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,24-236,1999,2.3,0,3,1,33.3,1.30,0.43,0.00,0.00,17.7,0,0,0,0.1,0.1,0.04,-0.1,-0.1,https://fbref.com/en/players/ba6cf633/matchlogs/2024/summary/Robert-Bozenik-Match-Logs,,,
53,Volodymyr Brazhko,https://fbref.com/en/players/696197fb/Volodymyr-Brazhko,MF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,22-170,2002,2.0,0,2,1,50.0,0.99,0.49,0.00,0.00,30.6,0,0,0,0.0,0.02,0.0,0.0,,https://fbref.com/en/players/696197fb/matchlogs/2024/summary/Volodymyr-Brazhko-Match-Logs,0.0,,
54,David Brekalo,https://fbref.com/en/players/fd594b15/David-Brekalo,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,25-221,1998,,0,,,,0.00,0.0,0.0,0,,0,0,0,0.0,0.00,0,0.0,,https://fbref.com/en/players/fd594b15/matchlogs/2024/summary/David-Brekalo-Match-Logs,0.0,,
55,Brian Brobbey,https://fbref.com/en/players/4c184730/Brian-Brobbey,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,22-161,2002,,0,,,,0.00,0.0,0.0,0,,0,0,0,0.0,0.00,0,0.0,,https://fbref.com/en/players/4c184730/matchlogs/2024/summary/Brian-Brobbey-Match-Logs,0.0,,
