right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,left href 3,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,right 25,right 26,right 27,right 28
35,Bradley Barcola,https://fbref.com/en/players/a0d55a09/Bradley-Barcola,"FW,MF",fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,21-313,2002,22,2.6,0,3,103,https://fbref.com/en/players/a0d55a09/matchlogs/2024/summary/Bradley-Barcola-Match-Logs,34,1.1,3,1,1,0,2,0.5,,+1.82,+2.14,+1,,18.1,60,+2.1,,,,+0.87,0.67,+0.87
36,Abdülkerim Bardakcı,https://fbref.com/en/players/5d9cff53/Abdulkerim-Bardakci,DF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,29-308,1994,0,5.9,0,4,360,https://fbref.com/en/players/5d9cff53/matchlogs/2024/summary/Abdulkerim-Bardakci-Match-Logs,90,80.0,4.0,4,90,,1.50,4,6,-1,-0.25,-0.11,7,-1.25,-1.4,-0.35,7.3,,,,,
37,Nicolò Barella,https://fbref.com/en/players/6928979a/Nicolo-Barella,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,27-155,1997,0,2.7,0,4,332,https://fbref.com/en/players/6928979a/matchlogs/2024/summary/Nicolo-Barella-Match-Logs,83,92.2,3.7,4,83,,1.00,2,3,-2,-0.54,-1.75,5,-0.54,-1.8,-0.48,4.5,,,,,
38,Alessandro Bastoni,https://fbref.com/en/players/75b86fb3/Alessandro-Bastoni,DF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,25-089,1999,0,3.3,0,4,360,https://fbref.com/en/players/75b86fb3/matchlogs/2024/summary/Alessandro-Bastoni-Match-Logs,90,100.0,4.0,4,90,,1.00,4,3,-2,-0.50,,5,-1.4,-0.35,,4.7,,,,,
39,Martin Baturina,https://fbref.com/en/players/d1eda5f0/Martin-Baturina,FW,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,21-146,2003,0,,0,1,7,https://fbref.com/en/players/d1eda5f0/matchlogs/2024/summary/Martin-Baturina-Match-Logs,7,0.1,2,1,1,0,0.2,0.5,,-1,-0.2,-3.72,,2.6,7,,-12.86,,-12.17,-3.18,1.00,
40,Oliver Baumann,https://fbref.com/en/players/47064058/Oliver-Baumann,GK,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,34-039,1990,0,0,0,0,5,https://fbref.com/en/players/47064058/matchlogs/2024/summary/Oliver-Baumann-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
41,Christoph Baumgartner,https://fbref.com/en/players/437f2b00/Christoph-Baumgartner,"MF,FW",at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,24-345,1999,5.7,1.50,0,4,289,https://fbref.com/en/players/437f2b00/matchlogs/2024/summary/Christoph-Baumgartner-Match-Logs,72,80.3,3.2,3,87,0,1,2,29,-1.27,,+1.3,5,,+1.19,+0.40,5,0.00,4.4,,,
42,Altay Bayındır,https://fbref.com/en/players/072e68ed/Altay-Bayindir,GK,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,26-088,1998,0,,0,1,90,https://fbref.com/en/players/072e68ed/matchlogs/2024/summary/Altay-Bayindir-Match-Logs,90,1.0,1,1,4,,0.7,3,1.9,-3,-1.1,-1.03,,20.0,90,0.00,-3.00,,-3.75,-1.15,,
43,Jan Bednarek,https://fbref.com/en/players/4115ce4e/Jan-Bednarek,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,28-090,1996,0,4.1,0,3,270,https://fbref.com/en/players/4115ce4e/matchlogs/2024/summary/Jan-Bednarek-Match-Logs,90,100.0,3.0,3,90,,0.33,3,3,-3,-1.00,,6,-1.8,-0.60,,5.9,,,,,
44,Maximilian Beier,https://fbref.com/en/players/5db45ee5/Maximilian-Beier,FW,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,21-268,2002,0,,0,1,26,https://fbref.com/en/players/5db45ee5/matchlogs/2024/summary/Maximilian-Beier-Match-Logs,26,0.3,4,1,1,0,0.8,0.1,,+1.49,+2.41,+1,,5.4,26,+0.7,,,,+2.27,1.00,+3.46
45,Vid Belec,https://fbref.com/en/players/4f8ce0e1/Vid-Belec,GK,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,34-035,1990,0,0,0,0,4,https://fbref.com/en/players/4f8ce0e1/matchlogs/2024/summary/Vid-Belec-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
46,Raoul Bellanova,https://fbref.com/en/players/e3756e72/Raoul-Bellanova,"DF,MF",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,24-055,2000,0,0,0,0,4,https://fbref.com/en/players/e3756e72/matchlogs/2024/summary/Raoul-Bellanova-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
47,Jude Bellingham,https://fbref.com/en/players/57d88cf9/Jude-Bellingham,MF,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,21-012,2003,0,5.4,0,6,580,https://fbref.com/en/players/57d88cf9/matchlogs/2024/summary/Jude-Bellingham-Match-Logs,97,96.7,6.4,6,97,,2.00,4,7,+0.49,+0.07,+3,4,+0.5,+0.47,+0.47,4.9,,,,,
48,László Bénes,https://fbref.com/en/players/fe888e39/Laszlo-Benes,MF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,26-306,1997,0,,0,2,71,https://fbref.com/en/players/fe888e39/matchlogs/2024/summary/Laszlo-Benes-Match-Logs,36,0.8,2,2,3,0,1.2,0.9,,-3,,+0.3,,18.2,36,0.00,-3.80,,-4.37,+1.11,,+0.68
49,Bartosz Bereszyński,https://fbref.com/en/players/61b3978f/Bartosz-Bereszynski,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,31-365,1992,0,,0,1,5,https://fbref.com/en/players/61b3978f/matchlogs/2024/summary/Bartosz-Bereszynski-Match-Logs,5,0.1,2,1,,0,0.4,0.0,,,+7.47,+0.4,,1.9,5,0.00,,0,,+6.74,,+1.02
50,Steven Bergwijn,https://fbref.com/en/players/a29b1131/Steven-Bergwijn,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,26-277,1997,0,,0,2,90,https://fbref.com/en/players/a29b1131/matchlogs/2024/summary/Steven-Bergwijn-Match-Logs,45,1.0,4,2,1,0,0.9,1,0.8,,,+0.1,,16.7,45,,-0.60,,-0.19,,3.00,+0.10
