right,left,left href,center,f-i,left 2,left href 2,center 2,center 3,right 2,right 3,right 4,right 5,right 6,left href 3,right 7,right 8,right 9,right 10,right 11,right 12,right 13,right 14,right 15,right 16,right 17,right 18,right 19,right 20,right 21,right 22,right 23,right 24,right 25,right 26,right 27,right 28
63,Endre Botka,https://fbref.com/en/players/2cb77ec6/Endre-Botka,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,29-321,1994,0,,0,1,90,https://fbref.com/en/players/2cb77ec6/matchlogs/2024/summary/Endre-Botka-Match-Logs,90,1.0,1,1,2,,1.2,1,0.2,+1.69,+1.05,+1,,33.3,90,+1.1,,,,+3.00,3.00,+1.00
64,Jarrod Bowen,https://fbref.com/en/players/79c84d1c/Jarrod-Bowen,FW,eng,England,https://fbref.com/en/squads/1862c019/England-Men-Stats,27-204,1996,0,,0,2,37,https://fbref.com/en/players/79c84d1c/matchlogs/2024/summary/Jarrod-Bowen-Match-Logs,19,0.4,4,2,0.6,0,0.4,,,-0.2,,,,6.2,19,,-0.48,0,-0.51,-0.57,2.00,
65,Róbert Boženík,https://fbref.com/en/players/ba6cf633/Robert-Bozenik,FW,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,24-236,1999,2.0,1.00,0,4,208,https://fbref.com/en/players/ba6cf633/matchlogs/2024/summary/Robert-Bozenik-Match-Logs,52,53.3,2.3,2,64,0,2,40,2,-1,-0.43,-0.84,3,-0.43,-1.5,-0.77,3.6,,,,,
66,Volodymyr Brazhko,https://fbref.com/en/players/696197fb/Volodymyr-Brazhko,MF,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,22-170,2002,2.2,1.33,0,3,182,https://fbref.com/en/players/696197fb/matchlogs/2024/summary/Volodymyr-Brazhko-Match-Logs,61,67.4,2.0,2,77,0,1,29,2,+1.09,+0.43,+1,1,+0.9,+3.56,+0.49,1.4,,,,,
67,David Brekalo,https://fbref.com/en/players/fd594b15/David-Brekalo,MF,si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,25-221,1998,0,0.0,0.0,2,2,https://fbref.com/en/players/fd594b15/matchlogs/2024/summary/David-Brekalo-Match-Logs,1,2,1,2,0.2,0,,,,-1,-0.2,-10.18,,0.5,1,,-45.00,0,-45.23,-10.78,1.00,
68,Brian Brobbey,https://fbref.com/en/players/4c184730/Brian-Brobbey,FW,nl,Netherlands,https://fbref.com/en/squads/5bb5024a/Netherlands-Men-Stats,22-161,2002,0,0.0,0.0,1,1,https://fbref.com/en/players/4c184730/matchlogs/2024/summary/Brian-Brobbey-Match-Logs,1,4,0.0,1,0.0,0,,0,,,0.00,,,0.2,1,0.00,-0.50,0,-0.26,,,
69,Armando Broja,https://fbref.com/en/players/97220da2/Armando-Broja,FW,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,22-305,2001,32,0.7,0,2,108,https://fbref.com/en/players/97220da2/matchlogs/2024/summary/Armando-Broja-Match-Logs,54,1.2,1,1,1,,1,2,1.8,-1,-1.1,,,40.0,76,0.00,-0.83,,-0.28,-0.92,,+0.26
70,Marcelo Brozović,https://fbref.com/en/players/33b8d077/Marcelo-Brozovic,MF,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,31-238,1992,0,3.3,0,3,225,https://fbref.com/en/players/33b8d077/matchlogs/2024/summary/Marcelo-Brozovic-Match-Logs,75,83.3,2.5,3,75,,0.67,2,1,-4,-1.60,-3.78,5,-3.60,-0.5,-0.19,3.8,,,,,
71,Jacob Bruun Larsen,https://fbref.com/en/players/4e204552/Jacob-Bruun-Larsen,FW,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,25-296,1998,0,,0,1,10,https://fbref.com/en/players/4e204552/matchlogs/2024/summary/Jacob-Bruun-Larsen-Match-Logs,10,0.1,3,1,0.4,0,0.1,,,-0.3,,,,2.8,10,0.00,-2.49,0,-2.44,,,+0.51
72,Ante Budimir,https://fbref.com/en/players/8f3565b3/Ante-Budimir,FW,hr,Croatia,https://fbref.com/en/squads/7b08e376/Croatia-Men-Stats,32-355,1991,34,3.3,0,3,122,https://fbref.com/en/players/8f3565b3/matchlogs/2024/summary/Ante-Budimir-Match-Logs,41,1.4,3,1,5,0,2,2.8,,-2,,+0.5,,45.2,55,,-1.48,,-0.87,-0.13,0.67,+0.37
73,Adam Buksa,https://fbref.com/en/players/3b676989/Adam-Buksa,FW,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,27-365,1996,0,,,2,149,https://fbref.com/en/players/3b676989/matchlogs/2024/summary/Adam-Buksa-Match-Logs,75,1.7,1,2,1,,2.4,2,3,-1,+1.73,+0.3,2.1,55.2,75,0.00,-0.60,,,+0.18,,+0.88
74,Alessandro Buongiorno,https://fbref.com/en/players/4ae67f27/Alessandro-Buongiorno,DF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,25-035,1999,0,0,0,0,4,https://fbref.com/en/players/4ae67f27/matchlogs/2024/summary/Alessandro-Buongiorno-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
75,Andrei Burcă,https://fbref.com/en/players/c83623e2/Andrei-Burca,DF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,31-087,1993,0,3.5,0,4,360,https://fbref.com/en/players/c83623e2/matchlogs/2024/summary/Andrei-Burca-Match-Logs,90,100.0,4.0,4,90,,1.00,4,4,-2,-0.50,,6,-2.6,-0.66,,6.1,,,,,
76,Heorhiy Bushchan,https://fbref.com/en/players/eb2b33aa/Heorhiy-Bushchan,GK,ua,Ukraine,https://fbref.com/en/squads/afa29a3e/Ukraine-Men-Stats,30-041,1994,0,0,0,0,3,https://fbref.com/en/players/eb2b33aa/matchlogs/2024/summary/Heorhiy-Bushchan-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
77,Marcin Bułka,https://fbref.com/en/players/db87a2c4/Marcin-Bulka,GK,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,24-281,1999,0,0,0,0,3,https://fbref.com/en/players/db87a2c4/matchlogs/2024/summary/Marcin-Bulka-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
78,Uğurcan Çakır,https://fbref.com/en/players/f63a8347/Ugurcan-Cakir,GK,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,28-097,1996,0,0,0.0,0,4,https://fbref.com/en/players/f63a8347/matchlogs/2024/summary/Ugurcan-Cakir-Match-Logs,2,1,,,,0,,,,,,+1,,,,,,,,,3.00,
79,Riccardo Calafiori,https://fbref.com/en/players/aded8e6f/Riccardo-Calafiori,DF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,22-053,2002,0,2.6,0,3,270,https://fbref.com/en/players/aded8e6f/matchlogs/2024/summary/Riccardo-Calafiori-Match-Logs,90,75.0,3.0,3,90,0,1.33,3,3,-0.9,-0.29,+2.00,3,,,+0.24,3.5,0.00,,,,
80,Hakan Çalhanoğlu,https://fbref.com/en/players/cd0fa27b/Hakan-Calhanoglu,MF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,30-154,1994,0,5.3,0,4,355,https://fbref.com/en/players/cd0fa27b/matchlogs/2024/summary/Hakan-Calhanoglu-Match-Logs,89,78.9,3.9,4,89,,1.50,2,4,-3,-0.76,+1.16,7,-3.60,-0.3,-0.08,5.6,,,,,
81,Eduardo Camavinga,https://fbref.com/en/players/7b9c2d84/Eduardo-Camavinga,MF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,21-244,2002,1.6,1.25,0,4,169,https://fbref.com/en/players/7b9c2d84/matchlogs/2024/summary/Eduardo-Camavinga-Match-Logs,42,29.6,1.9,1,90,0,3,26,2,-1,-0.53,-1.11,1,-0.98,-0.3,-0.18,1.9,,,,,
82,Andrea Cambiaso,https://fbref.com/en/players/247ed022/Andrea-Cambiaso,"FW,DF",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,24-142,2000,0,,0,3,76,https://fbref.com/en/players/247ed022/matchlogs/2024/summary/Andrea-Cambiaso-Match-Logs,25,0.8,1,3,1,0,0.2,1.4,,-1,-1.2,-1.40,,21.1,25,,-1.18,,-0.87,-1.46,1.00,
83,Emre Can,https://fbref.com/en/players/a65ce836/Emre-Can,MF,de,Germany,https://fbref.com/en/squads/c1e40422/Germany-Men-Stats,30-181,1994,19,1.6,0,4,102,https://fbref.com/en/players/a65ce836/matchlogs/2024/summary/Emre-Can-Match-Logs,26,1.1,1,1,2,,3,1,0.8,,,+1,,21.3,45,+0.8,-0.55,,-0.39,+0.69,2.25,+0.88
84,João Cancelo,https://fbref.com/en/players/bd6351cd/Joao-Cancelo,"DF,MF",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,30-045,1994,0,5.5,0,4,345,https://fbref.com/en/players/bd6351cd/matchlogs/2024/summary/Joao-Cancelo-Match-Logs,86,67.6,3.8,4,86,,2.00,1,4,-0.17,+0.83,+3,1,+3.2,+1.33,+0.78,2.3,,,,,
85,Yannick Carrasco,https://fbref.com/en/players/de39485a/Yannick-Carrasco,"DF,FW",be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,30-311,1993,2.6,1.00,0,4,218,https://fbref.com/en/players/de39485a/matchlogs/2024/summary/Yannick-Carrasco-Match-Logs,55,60.6,2.4,2,85,0,2,24,1,-1,-0.41,+0.1,2,-1.05,-0.57,+0.05,2.5,,,,,
86,Dani Carvajal,https://fbref.com/en/players/4958bfb2/Dani-Carvajal,DF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,32-182,1992,0,8.2,,4,379,https://fbref.com/en/players/4958bfb2/matchlogs/2024/summary/Dani-Carvajal-Match-Logs,95,66.5,4.2,4,95,,3.00,2,1,+0.28,+0.84,+7,9,+3.5,+0.25,+1.66,2,,4.7,,,
87,Timothy Castagne,https://fbref.com/en/players/197640fd/Timothy-Castagne,DF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,28-219,1995,0,4.4,0,4,357,https://fbref.com/en/players/197640fd/matchlogs/2024/summary/Timothy-Castagne-Match-Logs,89,99.2,4.0,4,89,0,1.00,3,2,-0.25,,+1.1,2,,,+0.27,3.4,0.00,,,,
88,Koen Casteels,https://fbref.com/en/players/db401046/Koen-Casteels,GK,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,32-016,1992,0,4.5,0,4,360,https://fbref.com/en/players/db401046/matchlogs/2024/summary/Koen-Casteels-Match-Logs,90,100.0,4.0,4,90,0,1.00,4,2,,,+1.1,2,,,+0.28,3.4,0.00,,,,
89,Žan Celar,https://fbref.com/en/players/868c6958/Zan-Celar,"FW,MF",si,Slovenia,https://fbref.com/en/squads/6b9f868f/Slovenia-Men-Stats,25-119,1999,0,,0,3,67,https://fbref.com/en/players/868c6958/matchlogs/2024/summary/Zan-Celar-Match-Logs,22,0.7,1,3,1,0,0.8,1.3,,-0.6,,+1,,17.2,22,,-1.41,,-0.83,+1.62,1.00,+1.34
90,Zeki Çelik,https://fbref.com/en/players/31a62dc7/Zeki-Celik,"DF,MF",tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,27-145,1997,8,2.3,,3,105,https://fbref.com/en/players/31a62dc7/matchlogs/2024/summary/Zeki-Celik-Match-Logs,35,1.2,1,1,2,,2,1,3,-2,,+0.1,2.1,23.3,90,,-1.71,,-2.24,+0.58,1.00,+0.12
91,Václav Černý,https://fbref.com/en/players/bb1cf301/Vaclav-Cerny,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,26-268,1997,0,,0,1,54,https://fbref.com/en/players/bb1cf301/matchlogs/2024/summary/Vaclav-Cerny-Match-Logs,54,0.6,2,1,1,0,1.7,0.8,,-1,,+0.9,,20.0,54,,-1.67,,-1.25,+1.52,1.00,+1.45
92,Lukáš Červ,https://fbref.com/en/players/bb4a41bc/Lukas-Cerv,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,23-092,2001,0,0,0.0,0,2,https://fbref.com/en/players/bb4a41bc/matchlogs/2024/summary/Lukas-Cerv-Match-Logs,1,2,,,,0,,,,-1,,,,,,0.00,,,,,,
93,Giorgi Chakvetadze,https://fbref.com/en/players/76864df8/Giorgi-Chakvetadze,"MF,FW",ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,24-317,1999,3.0,1.00,0,4,244,https://fbref.com/en/players/76864df8/matchlogs/2024/summary/Giorgi-Chakvetadze-Match-Logs,61,67.8,2.7,3,72,0,1,29,4,-2.2,-0.81,+2.33,4,,,+2.87,5.2,0,,,,
94,Federico Chiesa,https://fbref.com/en/players/b0f7e36c/Federico-Chiesa,"FW,MF",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,26-260,1997,2.7,1.00,0,4,263,https://fbref.com/en/players/b0f7e36c/matchlogs/2024/summary/Federico-Chiesa-Match-Logs,66,73.1,2.9,3,76,,1,1,34,-1,-0.34,+0.59,3,-0.3,-0.11,+0.90,4,,3.0,,,
95,Tomáš Chorý,https://fbref.com/en/players/163bbd4a/Tomas-Chory,MF,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,29-167,1995,0,,0,2,36,https://fbref.com/en/players/163bbd4a/matchlogs/2024/summary/Tomas-Chory-Match-Logs,18,0.4,1,2,1,0,1.0,1,0.6,,+0.90,+0.4,,13.3,18,0.00,,,,+1.02,,+0.77
96,Andreas Christensen,https://fbref.com/en/players/1cb49278/Andreas-Christensen,DF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,28-092,1996,0,4.2,0,4,350,https://fbref.com/en/players/1cb49278/matchlogs/2024/summary/Andreas-Christensen-Match-Logs,88,97.2,3.9,4,88,,0.75,3,2,-2,-0.51,+2.44,4,-0.51,-0.2,-0.05,4.4,,,,,
97,Ryan Christie,https://fbref.com/en/players/26ce2263/Ryan-Christie,"MF,FW",sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,29-140,1995,5,0.2,0,3,99,https://fbref.com/en/players/26ce2263/matchlogs/2024/summary/Ryan-Christie-Match-Logs,33,1.1,1,1,5,0,2,2.8,,-5,-2.6,-2.14,,36.7,90,,-4.55,,-4.55,-2.59,0.33,
98,Mojmir Chytil,https://fbref.com/en/players/01a08323/Mojmir-Chytil,FW,cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,25-073,1999,27,1.2,0,3,107,https://fbref.com/en/players/01a08323/matchlogs/2024/summary/Mojmir-Chytil-Match-Logs,36,1.2,1,1,3,0,2,1.8,,-2,-0.6,-1.23,,39.6,54,,-1.68,,-1.68,-0.50,0.33,
99,Alexandru Cicâldău,https://fbref.com/en/players/cdafb19d/Alexandru-Cicaldau,MF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,27-003,1997,0,0.0,0,1,19,https://fbref.com/en/players/cdafb19d/matchlogs/2024/summary/Alexandru-Cicaldau-Match-Logs,19,0.2,3,1,2,0,,1.1,,-2,-1.1,-4.92,,5.3,19,0.00,-9.47,,-9.47,-5.32,,
100,Zander Clark,https://fbref.com/en/players/d7fc839a/Zander-Clark,GK,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,32-015,1992,0,0,0,0,3,https://fbref.com/en/players/d7fc839a/matchlogs/2024/summary/Zander-Clark-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
101,Jonathan Clauss,https://fbref.com/en/players/5219ab4a/Jonathan-Clauss,"DF,FW",fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,31-290,1992,0,0,0,0,6,https://fbref.com/en/players/5219ab4a/matchlogs/2024/summary/Jonathan-Clauss-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
102,Florinel Coman,https://fbref.com/en/players/a9440c25/Florinel-Coman,MF,ro,Romania,https://fbref.com/en/squads/7def9493/Romania-Men-Stats,26-092,1998,0,,0,2,118,https://fbref.com/en/players/a9440c25/matchlogs/2024/summary/Florinel-Coman-Match-Logs,59,1.3,1,2,4,,2.2,1,1.0,+2.34,+0.91,+3,,32.8,59,+1.2,,,,+4.15,2.00,+2.29
103,Kingsley Coman,https://fbref.com/en/players/042e8a49/Kingsley-Coman,MF,fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,28-028,1996,0,0.0,0,1,16,https://fbref.com/en/players/042e8a49/matchlogs/2024/summary/Kingsley-Coman-Match-Logs,16,0.2,5,1,0.0,0,,0.0,,,,,,2.8,16,,-0.16,0,-0.53,,1.00,+0.08
104,Francisco Conceição,https://fbref.com/en/players/5ef3d210/Francisco-Conceicao,"FW,MF",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,21-210,2002,5.0,1.25,,4,182,https://fbref.com/en/players/5ef3d210/matchlogs/2024/summary/Francisco-Conceicao-Match-Logs,46,35.7,2.0,1,90,,3,1,31,-1,-0.49,+2.5,1,-1.32,+1.25,+1.83,1,2.5,2,,,
105,Tommy Conway,https://fbref.com/en/players/746a92c5/Tommy-Conway,FW,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,21-340,2002,0,0,0,0,3,https://fbref.com/en/players/746a92c5/matchlogs/2024/summary/Tommy-Conway-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
106,Liam Cooper,https://fbref.com/en/players/dc64b8b3/Liam-Cooper,DF,sct,Scotland,https://fbref.com/en/squads/602d3994/Scotland-Men-Stats,32-316,1991,0,0,0,0,3,https://fbref.com/en/players/dc64b8b3/matchlogs/2024/summary/Liam-Cooper-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
107,Diogo Costa,https://fbref.com/en/players/93fffbcf/Diogo-Costa,GK,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,24-296,1999,0,9.5,0,5,510,https://fbref.com/en/players/93fffbcf/matchlogs/2024/summary/Diogo-Costa-Match-Logs,102,100.0,5.7,5,102,,1.60,5,5,,+1.00,+2,3,+1.00,+5.0,+0.35,4.5,,,,,
108,Vladimír Coufal,https://fbref.com/en/players/fdf3cb77/Vladimir-Coufal,"DF,FW",cz,Czechia,https://fbref.com/en/squads/2740937c/Czechia-Men-Stats,31-324,1992,0,5.1,0,3,270,https://fbref.com/en/players/fdf3cb77/matchlogs/2024/summary/Vladimir-Coufal-Match-Logs,90,100.0,3.0,3,90,,0.33,3,3,-2,-0.67,+0.7,5,,,+0.24,4.3,,,,,
109,Bryan Cristante,https://fbref.com/en/players/16657b95/Bryan-Cristante,MF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,29-130,1995,30,0.8,0,3,133,https://fbref.com/en/players/16657b95/matchlogs/2024/summary/Bryan-Cristante-Match-Logs,44,1.5,1,1,3,0,2,2.4,,-3,-1.7,-1.23,,36.9,74,,-2.03,,-2.43,-1.12,1.00,
110,Kevin Csoboth,https://fbref.com/en/players/cf6fc95d/Kevin-Csoboth,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,24-021,2000,0,,0,2,9,https://fbref.com/en/players/cf6fc95d/matchlogs/2024/summary/Kevin-Csoboth-Match-Logs,5,0.1,1,2,1,0,1.1,0.2,,+8.68,+8.32,+1,,3.3,5,+0.8,,,,+11.38,1.50,+10.00
111,Marc Cucurella,https://fbref.com/en/players/1daec722/Marc-Cucurella,DF,es,Spain,https://fbref.com/en/squads/b561dd30/Spain-Men-Stats,25-355,1998,0,8.1,,5,455,https://fbref.com/en/players/1daec722/matchlogs/2024/summary/Marc-Cucurella-Match-Logs,91,79.8,5.1,5,91,,3.00,4,1,-0.96,-0.89,+7,10,+0.52,+2.4,+1.38,3,,5.6,,,
112,Mirlind Daku,https://fbref.com/en/players/a04adf33/Mirlind-Daku,FW,al,Albania,https://fbref.com/en/squads/b44b9eb7/Albania-Men-Stats,26-192,1998,0,,0,1,6,https://fbref.com/en/players/a04adf33/matchlogs/2024/summary/Mirlind-Daku-Match-Logs,6,0.1,1,1,1,0,0.5,0.2,,+4.89,+3.71,+1,,2.2,6,+0.2,,,,+16.02,1.00,+15.00
113,Diogo Dalot,https://fbref.com/en/players/d9565625/Diogo-Dalot,"DF,MF",pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,25-115,1999,0,3.0,0,2,152,https://fbref.com/en/players/d9565625/matchlogs/2024/summary/Diogo-Dalot-Match-Logs,76,29.8,1.7,2,76,,1.50,1,3,-3,-1.78,+1.2,3,-3.03,-0.26,+0.70,1.8,,,,,
114,Mikkel Damsgaard,https://fbref.com/en/players/215f3907/Mikkel-Damsgaard,FW,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,24-008,2000,0,,0,1,34,https://fbref.com/en/players/215f3907/matchlogs/2024/summary/Mikkel-Damsgaard-Match-Logs,34,0.4,3,1,0.2,0,0.5,,,,+1.07,+0.3,,9.4,34,,,0,,+0.85,1.00,+0.55
115,Flavius Daniliuc,https://fbref.com/en/players/7ef972c3/Flavius-Daniliuc,DF,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,23-075,2001,0,0,0,0,4,https://fbref.com/en/players/7ef972c3/matchlogs/2024/summary/Flavius-Daniliuc-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
116,Kevin Danso,https://fbref.com/en/players/6e33125f/Kevin-Danso,DF,at,Austria,https://fbref.com/en/squads/d5121f10/Austria-Men-Stats,25-296,1998,5.3,1.00,0,3,212,https://fbref.com/en/players/6e33125f/matchlogs/2024/summary/Kevin-Danso-Match-Logs,71,58.9,2.4,2,90,0.00,1,2,32,-0.61,,+1.9,1,,+1.56,+0.81,3,3.4,3,,,
117,Márton Dárdai,https://fbref.com/en/players/41bff4fa/Marton-Dardai,DF,hu,Hungary,https://fbref.com/en/squads/b4ac5e97/Hungary-Men-Stats,22-150,2002,1.6,1.00,0,3,175,https://fbref.com/en/players/41bff4fa/matchlogs/2024/summary/Marton-Dardai-Match-Logs,58,64.8,1.9,2,82,0,1,1,12,-3,-1.54,-0.59,3,-1.54,-0.5,-0.28,2.1,,,,,
118,Matteo Darmian,https://fbref.com/en/players/96e0490d/Matteo-Darmian,DF,it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,34-222,1989,1.4,1.33,0,3,161,https://fbref.com/en/players/96e0490d/matchlogs/2024/summary/Matteo-Darmian-Match-Logs,54,44.7,1.8,2,77,0,1,8,1,-3,-1.68,-0.28,3,-2.13,-0.9,-0.50,2.3,,,,,
119,Zuriko Davitashvili,https://fbref.com/en/players/88b4d2e3/Zuriko-Davitashvili,"FW,MF",ge,Georgia,https://fbref.com/en/squads/7158b127/Georgia-Men-Stats,23-147,2001,18,1.4,0,4,115,https://fbref.com/en/players/88b4d2e3/matchlogs/2024/summary/Zuriko-Davitashvili-Match-Logs,29,1.3,1,1,4,0,3,6.1,,-3,-4.7,-2.90,,31.9,61,,-2.35,,-2.35,-3.71,1.00,
120,Paweł Dawidowicz,https://fbref.com/en/players/16bb656a/Pawel-Dawidowicz,DF,pl,Poland,https://fbref.com/en/squads/8912dcf0/Poland-Men-Stats,29-052,1995,0,2.8,0.00,2,180,https://fbref.com/en/players/16bb656a/matchlogs/2024/summary/Pawel-Dawidowicz-Match-Logs,90,66.7,2.0,2,90,,0.50,2,1,-2,-1.00,,2,-1.7,-0.83,-0.71,4,,4.4,,,
121,Kevin De Bruyne,https://fbref.com/en/players/e46012d4/Kevin-De-Bruyne,MF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,33-013,1991,0,4.5,0,4,360,https://fbref.com/en/players/e46012d4/matchlogs/2024/summary/Kevin-De-Bruyne-Match-Logs,90,100.0,4.0,4,90,0,1.00,4,2,,,+1.1,2,,,+0.28,3.4,0.00,,,,
122,Maxim De Cuyper,https://fbref.com/en/players/d494882e/Maxim-De-Cuyper,"DF,MF",be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,23-202,2000,0,0,0,0,4,https://fbref.com/en/players/d494882e/matchlogs/2024/summary/Maxim-De-Cuyper-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
123,Charles De Ketelaere,https://fbref.com/en/players/2ef7c612/Charles-De-Ketelaere,FW,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,23-123,2001,0,0.0,0.0,1,3,https://fbref.com/en/players/2ef7c612/matchlogs/2024/summary/Charles-De-Ketelaere-Match-Logs,3,3,0.0,1,0.0,0,,0,,,0.00,,,0.8,3,0.00,,0,,+0.25,,+0.52
124,Vernon De Marco Morlacchi,https://fbref.com/en/players/d1117c6c/Vernon-De-Marco-Morlacchi,DF,sk,Slovakia,https://fbref.com/en/squads/66cff10b/Slovakia-Men-Stats,31-236,1992,0,0,0,0,4,https://fbref.com/en/players/d1117c6c/matchlogs/2024/summary/Vernon-De-Marco-Morlacchi-Match-Logs,,,,,,,,,,,,,,,,,,,,,,
125,Zeno Debast,https://fbref.com/en/players/064461b7/Zeno-Debast,DF,be,Belgium,https://fbref.com/en/squads/361422b9/Belgium-Men-Stats,20-261,2003,14,2.2,0,2,104,https://fbref.com/en/players/064461b7/matchlogs/2024/summary/Zeno-Debast-Match-Logs,52,1.2,1,1,2,,1,1,1,,0.00,+1.2,0.9,28.9,90,,,,,+1.12,1.50,+1.07
126,Thomas Delaney,https://fbref.com/en/players/fe641c1a/Thomas-Delaney,MF,dk,Denmark,https://fbref.com/en/squads/29a4e4af/Denmark-Men-Stats,32-312,1991,8,0.9,0,3,84,https://fbref.com/en/players/fe641c1a/matchlogs/2024/summary/Thomas-Delaney-Match-Logs,28,0.9,2,1,2.4,0,2,,,-2,-1.4,-1.87,,23.3,68,,-2.14,0,-2.14,-1.55,0.67,
127,Ousmane Dembélé,https://fbref.com/en/players/b19db005/Ousmane-Dembele,"FW,MF",fr,France,https://fbref.com/en/squads/b1b36dcd/France-Men-Stats,27-057,1997,7.2,1.20,0,5,361,https://fbref.com/en/players/b19db005/matchlogs/2024/summary/Ousmane-Dembele-Match-Logs,72,63.3,4.0,4,77,0,1,54,1,-0.43,,+3.2,3,,+0.67,+0.88,3,0.00,4.0,,,
128,Merih Demiral,https://fbref.com/en/players/e3cceee6/Merih-Demiral,DF,tr,Türkiye,https://fbref.com/en/squads/ac6bcf92/Turkiye-Men-Stats,26-128,1998,3.2,2.25,0,4,208,https://fbref.com/en/players/e3cceee6/matchlogs/2024/summary/Merih-Demiral-Match-Logs,52,46.2,2.3,2,90,,2,2,14,-1.9,-0.84,+3,5,-0.96,+2.41,+1.30,2,,5.2,,,
129,Giovanni Di Lorenzo,https://fbref.com/en/players/230a2fac/Giovanni-Di-Lorenzo,"DF,FW",it,Italy,https://fbref.com/en/squads/998c5958/Italy-Men-Stats,30-342,1993,0,3.3,0,4,360,https://fbref.com/en/players/230a2fac/matchlogs/2024/summary/Giovanni-Di-Lorenzo-Match-Logs,90,100.0,4.0,4,90,,1.00,4,3,-2,-0.50,,5,-1.4,-0.35,,4.7,,,,,
130,Rúben Dias,https://fbref.com/en/players/31c69ef1/Ruben-Dias,DF,pt,Portugal,https://fbref.com/en/squads/4a1b4ea8/Portugal-Men-Stats,27-058,1997,0,7.5,,4,420,https://fbref.com/en/players/31c69ef1/matchlogs/2024/summary/Ruben-Dias-Match-Logs,105,82.4,4.7,4,105,,2.00,4,1,+0.96,+1.17,+4,5,+4.7,+2.86,+0.86,1,,2.8,,,
