Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
477,Andriy Yarmolenko,"FW,MF",Ukraine,34,1989,1.2,0,4,0,0,3.46,0.00,0.00,,15.7,0.00,0.00,0.00,0.5,0.5,0.12,-0.5,-0.5
478,Yusuf Yazıcı,"MF,FW",Türkiye,27,1997,0.6,0,3,2,67,4.74,3.16,0.00,0.0,21.1,0.00,0.00,0.00,0.2,0.2,0.06,-0.2,-0.2
479,Kenan Yıldız,"FW,MF",Türkiye,18,2005,3.8,0,11,3,27,2.87,0.78,0.00,0.0,18.3,0.00,0.00,0.00,0.7,0.7,0.07,-0.7,-0.7
480,Okay Yokuşlu,"MF,DF",Türkiye,29,1994,0.6,0,1,0,0,1.64,0.00,0.00,,26.4,0.00,0.00,0.00,0.0,0.0,0.05,0.0,0.0
481,İsmail Yüksek,MF,Türkiye,25,1999,1.7,0,1,0,0,0.59,0.00,0.00,,22.4,0.00,0.00,0.00,0.1,0.1,0.06,-0.1,-0.1
482,Illia Zabarnyi,DF,Ukraine,21,2002,3.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
483,Mattia Zaccagni,"MF,FW",Italy,28,1995,0.9,1,2,1,50,2.20,1.10,0.50,1.0,14.7,0.00,0.00,0.00,0.2,0.2,0.11,0.8,0.8
484,Denis Zakaria,MF,Switzerland,27,1996,0.3,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
485,Nicola Zalewski,DF,Poland,22,2002,2.7,0,2,1,50,0.73,0.36,0.00,0.0,22.2,0.00,0.00,0.00,0.1,0.1,0.06,-0.1,-0.1
486,Piotr Zieliński,MF,Poland,29,1994,2.8,0,8,3,38,2.85,1.07,0.00,0.0,25.3,2.00,0.00,0.00,0.5,0.5,0.06,-0.5,-0.5
487,Oleksandr Zinchenko,DF,Ukraine,27,1996,2.4,0,1,1,100,0.42,0.42,0.00,0.0,24.4,1.00,0.00,0.00,0.0,0.0,0.04,0.0,0.0
488,Joshua Zirkzee,"FW,DF",Netherlands,22,2001,0.1,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
489,Andrija Živković,DF,Serbia,27,1996,2.7,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
490,Budu Zivzivadze,"FW,MF",Georgia,29,1994,0.2,0,1,0,0,5.00,0.00,0.00,,6.8,0.00,0.00,0.00,0.1,0.1,0.09,-0.1,-0.1
491,Steven Zuber,MF,Switzerland,32,1991,0.9,0,2,0,0,2.34,0.00,0.00,,11.9,0.00,0.00,0.00,0.2,0.2,0.10,-0.2,-0.2
492,Martín Zubimendi,MF,Spain,24,1999,1.6,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
493,Oleksandr Zubkov,FW,Ukraine,27,1996,0.3,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
