Rk,Player,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
74,Václav Černý,MF,Czechia,26,1997,0.6,0,2,1,50,3.33,1.67,0.00,0.0,14.0,0.00,0.00,0.00,0.5,0.5,0.24,-0.5,-0.5
75,Giorgi Chakvetadze,"MF,FW",Georgia,24,1999,2.7,0,2,0,0,0.74,0.00,0.00,,20.0,0.00,0.00,0.00,0.1,0.1,0.03,-0.1,-0.1
76,Federico Chiesa,"FW,MF",Italy,26,1997,2.9,0,8,0,0,2.74,0.00,0.00,,19.6,0.00,0.00,0.00,0.2,0.2,0.02,-0.2,-0.2
77,Tomáš Chorý,MF,Czechia,29,1995,0.4,0,1,0,0,2.50,0.00,0.00,,4.9,0.00,0.00,0.00,0.4,0.4,0.40,-0.4,-0.4
78,Andreas Christensen,DF,Denmark,27,1996,3.9,0,4,0,0,1.03,0.00,0.00,,17.6,0.00,0.00,0.00,0.5,0.5,0.11,-0.5,-0.5
79,Ryan Christie,"MF,FW",Scotland,28,1995,1.1,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
80,Mojmir Chytil,FW,Czechia,24,1999,1.2,0,2,0,0,1.68,0.00,0.00,,11.1,0.00,0.00,0.00,0.2,0.2,0.09,-0.2,-0.2
81,Alexandru Cicâldău,MF,Romania,26,1997,0.2,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
82,Florinel Coman,MF,Romania,25,1998,1.3,0,2,1,50,1.53,0.76,0.00,0.0,24.2,0.00,0.00,0.00,0.1,0.1,0.04,-0.1,-0.1
83,Kingsley Coman,MF,France,27,1996,0.2,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
84,Francisco Conceição,"FW,MF",Portugal,21,2002,2.0,1,5,1,20,2.47,0.49,0.20,1.0,14.5,0.00,0.00,0.00,0.9,0.9,0.18,0.1,0.1
85,Diogo Costa,GK,Portugal,24,1999,5.7,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
86,Vladimír Coufal,"DF,FW",Czechia,31,1992,3.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
87,Bryan Cristante,MF,Italy,28,1995,1.5,0,2,1,50,1.35,0.68,0.00,0.0,18.7,0.00,0.00,0.00,0.1,0.1,0.04,-0.1,-0.1
88,Kevin Csoboth,DF,Hungary,23,2000,0.1,1,2,1,50,20.00,10.00,0.50,1.0,11.9,0.00,0.00,0.00,0.6,0.6,0.31,0.4,0.4
89,Marc Cucurella,DF,Spain,25,1998,6.1,0,1,1,100,0.17,0.17,0.00,0.0,24.4,0.00,0.00,0.00,0.0,0.0,0.02,0.0,0.0
90,Mirlind Daku,FW,Albania,26,1998,0.1,0,1,0,0,15.00,0.00,0.00,,10.9,0.00,0.00,0.00,0.1,0.1,0.11,-0.1,-0.1
91,Diogo Dalot,"DF,MF",Portugal,24,1999,1.7,0,3,1,33,1.78,0.59,0.00,0.0,21.8,0.00,0.00,0.00,0.1,0.1,0.02,-0.1,-0.1
92,Mikkel Damsgaard,FW,Denmark,23,2000,0.4,0,1,1,100,2.65,2.65,0.00,0.0,25.5,0.00,0.00,0.00,0.0,0.0,0.01,0.0,0.0
93,Kevin Danso,DF,Austria,25,1998,2.4,0,1,0,0,0.42,0.00,0.00,,10.9,0.00,0.00,0.00,0.0,0.0,0.04,0.0,0.0
94,Márton Dárdai,DF,Hungary,21,2002,1.9,0,1,0,0,0.51,0.00,0.00,,9.6,0.00,0.00,0.00,0.1,0.1,0.07,-0.1,-0.1
95,Matteo Darmian,DF,Italy,34,1989,1.8,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
96,Zuriko Davitashvili,"FW,MF",Georgia,22,2001,1.3,0,2,0,0,1.57,0.00,0.00,,12.6,0.00,0.00,0.00,0.1,0.1,0.04,-0.1,-0.1
97,Paweł Dawidowicz,DF,Poland,28,1995,2.0,0,1,0,0,0.50,0.00,0.00,,9.1,0.00,0.00,0.00,0.1,0.1,0.10,-0.1,-0.1
98,Kevin De Bruyne,MF,Belgium,32,1991,4.0,1,11,5,46,2.75,1.25,0.09,0.2,20.4,1.00,0.00,0.00,0.9,0.9,0.08,0.1,0.1
99,Charles De Ketelaere,FW,Belgium,22,2001,0.0,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
100,Zeno Debast,DF,Belgium,20,2003,1.2,0,0,0,,0.00,0.00,,,,0.00,0.00,0.00,0.0,0.0,,0.0,0.0
101,Thomas Delaney,MF,Denmark,32,1991,0.9,0,1,0,0,1.07,0.00,0.00,,3.8,0.00,0.00,0.00,0.1,0.1,0.11,-0.1,-0.1
102,Ousmane Dembélé,"FW,MF",France,26,1997,4.0,0,8,1,13,1.99,0.25,0.00,0.0,19.4,0.00,0.00,0.00,0.5,0.5,0.07,-0.5,-0.5
103,Merih Demiral,DF,Türkiye,25,1998,2.3,2,3,2,67,1.30,0.87,0.67,1.0,4.0,0.00,0.00,0.00,0.7,0.7,0.24,1.3,1.3
104,Giovanni Di Lorenzo,"DF,FW",Italy,30,1993,4.0,0,2,0,0,0.50,0.00,0.00,,5.9,0.00,0.00,0.00,0.2,0.2,0.08,-0.2,-0.2
105,Rúben Dias,DF,Portugal,26,1997,4.7,0,2,0,0,0.43,0.00,0.00,,17.5,0.00,0.00,0.00,0.1,0.1,0.05,-0.1,-0.1
106,Federico Dimarco,"DF,FW",Italy,26,1997,2.5,0,2,1,50,0.79,0.39,0.00,0.0,23.5,0.00,0.00,0.00,0.0,0.0,0.02,0.0,0.0
