Rk,Player,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off1
377,Ionuț Nedelcearu,DF,Romania,27,1996,0,,,,,0,,0,0,,4,,,,,,,,,,,
378,Loïc Nego,"DF,MF",Hungary,33,1991,0,,,,,0,,0,0,,3,,,,,,,,,,,
379,Pedro Neto,"DF,FW",Portugal,23,2000,3,120,40,23.5,1.3,1,74,0,2,23,2,2.00,2,2,0,0.00,-0.46,2.80,1.70,1.10,0.84,-0.06
380,Manuel Neuer,GK,Germany,37,1986,5,480,96,100.0,5.3,5,96,5,0,,0,2.00,11,4,7,1.31,,9.70,4.40,5.30,1.07,1.07
381,João Neves,MF,Portugal,19,2004,2,77,39,15.1,0.9,1,74,0,1,3,3,1.50,0,2,-2,-2.34,-3.17,1.10,1.60,-0.50,-0.62,-1.77
382,Rúben Neves,MF,Portugal,26,1997,4,125,31,24.5,1.4,0,,0,4,31,1,1.25,1,1,0,0.00,-0.47,3.70,1.90,1.80,1.81,1.13
383,Florin Niță,GK,Romania,36,1987,4,360,90,100.0,4.0,4,90,4,0,,0,1.00,4,6,-2,-0.50,,3.50,6.10,-2.60,-0.66,
384,Matheus Nunes,MF,Portugal,25,1998,2,18,9,3.5,0.2,0,,0,2,9,3,0.50,0,0,0,0.00,-0.37,1.30,0.00,1.20,6.86,6.17
385,Christian Nørgaard,MF,Denmark,29,1994,3,38,13,10.6,0.4,0,,0,3,13,1,0.67,0,0,0,0.00,0.56,0.70,0.40,0.30,0.70,0.91
386,Adam Obert,DF,Slovakia,21,2002,2,25,13,6.4,0.3,0,,0,2,13,2,1.50,0,1,-1,-3.60,-3.60,0.20,0.40,-0.10,-0.51,-0.21
387,Jan Oblak,GK,Slovenia,31,1993,4,390,98,100.0,4.3,4,98,4,0,,0,1.00,2,2,0,0.00,,3.20,6.10,-2.90,-0.71,-0.71
388,Noah Okafor,"FW,MF",Switzerland,23,2000,0,,,,,0,,0,0,,5,,,,,,,,,,,
